Epigenome ID (EID)	Standardized Epigenome name	Epigenome Mnemonic	GROUP	EID_info
E017	IMR90 fetal lung fibroblasts Cell Line	LNG.IMR90	IMR90	E017_LNG.IMR90_IMR90
E002	ES-WA7 Cells	ESC.WA7	ESC	E002_ESC.WA7_ESC
E008	H9 Cells	ESC.H9	ESC	E008_ESC.H9_ESC
E001	ES-I3 Cells	ESC.I3	ESC	E001_ESC.I3_ESC
E015	HUES6 Cells	ESC.HUES6	ESC	E015_ESC.HUES6_ESC
E014	HUES48 Cells	ESC.HUES48	ESC	E014_ESC.HUES48_ESC
E016	HUES64 Cells	ESC.HUES64	ESC	E016_ESC.HUES64_ESC
E003	H1 Cells	ESC.H1	ESC	E003_ESC.H1_ESC
E024	ES-UCSF4  Cells	ESC.4STAR	ESC	E024_ESC.4STAR_ESC
E020	iPS-20b Cells	IPSC.20B	iPSC	E020_IPSC.20B_iPSC
E019	iPS-18 Cells	IPSC.18	iPSC	E019_IPSC.18_iPSC
E018	iPS-15b Cells	IPSC.15b	iPSC	E018_IPSC.15b_iPSC
E021	iPS DF 6.9 Cells	IPSC.DF.6.9	iPSC	E021_IPSC.DF.6.9_iPSC
E022	iPS DF 19.11 Cells	IPSC.DF.19.11	iPSC	E022_IPSC.DF.19.11_iPSC
E007	H1 Derived Neuronal Progenitor Cultured Cells	ESDR.H1.NEUR.PROG	ES-deriv	E007_ESDR.H1.NEUR.PROG_ES-deriv
E009	H9 Derived Neuronal Progenitor Cultured Cells	ESDR.H9.NEUR.PROG	ES-deriv	E009_ESDR.H9.NEUR.PROG_ES-deriv
E010	H9 Derived Neuron Cultured Cells	ESDR.H9.NEUR	ES-deriv	E010_ESDR.H9.NEUR_ES-deriv
E013	hESC Derived CD56+ Mesoderm Cultured Cells	ESDR.CD56.MESO	ES-deriv	E013_ESDR.CD56.MESO_ES-deriv
E012	hESC Derived CD56+ Ectoderm Cultured Cells	ESDR.CD56.ECTO	ES-deriv	E012_ESDR.CD56.ECTO_ES-deriv
E011	hESC Derived CD184+ Endoderm Cultured Cells	ESDR.CD184.ENDO	ES-deriv	E011_ESDR.CD184.ENDO_ES-deriv
E004	H1 BMP4 Derived Mesendoderm Cultured Cells	ESDR.H1.BMP4.MESO	ES-deriv	E004_ESDR.H1.BMP4.MESO_ES-deriv
E005	H1 BMP4 Derived Trophoblast Cultured Cells	ESDR.H1.BMP4.TROP	ES-deriv	E005_ESDR.H1.BMP4.TROP_ES-deriv
E006	H1 Derived Mesenchymal Stem Cells	ESDR.H1.MSC	ES-deriv	E006_ESDR.H1.MSC_ES-deriv
E062	Primary mononuclear cells from peripheral blood	BLD.PER.MONUC.PC	Blood & T-cell	E062_BLD.PER.MONUC.PC_Blood & T-cell
E034	Primary T cells from peripheral blood	BLD.CD3.PPC	Blood & T-cell	E034_BLD.CD3.PPC_Blood & T-cell
E045	Primary T cells effector/memory enriched from peripheral blood	BLD.CD4.CD25I.CD127.TMEMPC	Blood & T-cell	E045_BLD.CD4.CD25I.CD127.TMEMPC_Blood & T-cell
